x,y
5.15638,3.53855
5.16281,3.54396
5.16923,3.54937
5.17566,3.55478
5.18208,3.56019
5.18851,3.56561
5.19493,3.57102
5.20136,3.57643
5.20778,3.58184
5.21421,3.58725
5.22063,3.59266
5.22705,3.59807
5.23348,3.60349
5.2399,3.6089
5.24633,3.61431
5.25275,3.61972
5.25918,3.62513
5.2656,3.63054
5.27203,3.63595
5.27845,3.64137
5.28488,3.64678
5.2913,3.65219
5.29773,3.6576
5.30415,3.66301
5.31058,3.66842
5.317,3.67383
5.32342,3.67925
5.32985,3.68466
5.33627,3.69007
5.3427,3.69548
5.34912,3.70089
5.35555,3.7063
5.36197,3.71171
5.3684,3.71713
5.37482,3.72254
5.38125,3.72795
5.38767,3.73336
5.3941,3.73877
5.40052,3.74418
5.40695,3.74959
5.41337,3.75501
5.41979,3.76042
5.42622,3.76583
5.43264,3.77124
5.43907,3.77665
5.44549,3.78206
5.45192,3.78747
5.45834,3.79289
5.46477,3.7983
5.47119,3.80371
5.47762,3.80912
5.48404,3.81453
5.49047,3.81994
5.49689,3.82535
5.50332,3.83077
5.50974,3.83618
5.51616,3.84159
5.52259,3.847
5.52901,3.85241
5.53544,3.85782
5.54186,3.86323
5.54829,3.86865
5.55471,3.87406
5.56114,3.87947
5.56756,3.88488
5.57399,3.89029
5.58041,3.8957
5.58684,3.90111
5.59326,3.90653
5.59969,3.91194
5.60611,3.91735
5.61253,3.92276
5.61896,3.92817
5.62538,3.93358
5.63181,3.93899
5.63823,3.94441
5.64466,3.94982
5.65108,3.95523
5.65751,3.96064
5.66393,3.96605
5.67036,3.97146
5.67678,3.97687
5.68321,3.98229
5.68963,3.9877
5.69606,3.99311
5.70248,3.99852
5.7089,4.00393
5.71533,4.00934
5.72175,4.01475
5.72818,4.02017
5.7346,4.02558
5.74103,4.03099
5.74745,4.0364
5.75388,4.04181
5.7603,4.04722
5.76673,4.05263
5.77315,4.05805
5.77958,4.06346
5.786,4.06887
5.79243,4.07428
5.79885,4.07969
5.80528,4.0851
5.8117,4.09051
5.81812,4.09593
5.82455,4.10134
5.83097,4.10675
5.8374,4.11216
5.84382,4.11757
5.85025,4.12298
5.85667,4.12839
5.8631,4.13381
5.86952,4.13922
5.87595,4.14463
5.88237,4.15004
5.8888,4.15545
5.89522,4.16086
5.90165,4.16627
5.90807,4.17169
5.91449,4.1771
5.92092,4.18251
5.92734,4.18792
5.93377,4.19333
5.94019,4.19874
5.94662,4.20415
5.95304,4.20957
5.95947,4.21498
5.96589,4.22039
5.97232,4.2258
5.97874,4.23121
5.98517,4.23662
5.99159,4.24203
5.99802,4.24745
6.00444,4.25286
6.01086,4.25827
6.01729,4.26368
6.02371,4.26909
6.03014,4.2745
6.03656,4.27991
6.04299,4.28533
6.04941,4.29074
6.05584,4.29615
6.06226,4.30156
6.06869,4.30697
6.07511,4.31238
6.08154,4.31779
6.08796,4.32321
6.09439,4.32862
6.10081,4.33403
6.10723,4.33944
6.11366,4.34485
6.12008,4.35026
6.12651,4.35567
6.13293,4.36109
6.13936,4.3665
6.14578,4.37191
6.15221,4.37732
6.15863,4.38273
6.16506,4.38814
6.17148,4.39355
6.17791,4.39897
6.18433,4.40438
6.19076,4.40979
6.19718,4.4152
6.2036,4.42061
6.21003,4.42602
6.21645,4.43143
6.22288,4.43685
6.2293,4.44226
6.23573,4.44767
6.24215,4.45308
6.24858,4.45849
6.255,4.4639
6.26143,4.46931
6.26785,4.47473
6.27428,4.48014
6.2807,4.48555
6.28713,4.49096
6.29355,4.49637
6.29998,4.50178
6.3064,4.50719
6.31282,4.51261
6.31925,4.51802
6.32567,4.52343
6.3321,4.52884
6.33852,4.53425
6.34495,4.53966
6.35137,4.54507
6.3578,4.55049
6.36422,4.5559
6.37065,4.56131
6.37707,4.56672
6.3835,4.57213
6.38992,4.57754
6.39635,4.58295
6.40277,4.58837
6.40919,4.59378
6.41562,4.59919
6.42204,4.6046
6.42847,4.61001
6.43489,4.61542
6.44132,4.62083
6.44774,4.62625
6.45417,4.63166
6.46059,4.63707
6.46702,4.64248
6.47344,4.64789
6.47987,4.6533
6.48629,4.65871
6.49272,4.66413
6.49914,4.66954
6.50556,4.67495
6.51199,4.68036
6.51841,4.68577
6.52484,4.69118
6.53126,4.69659
6.53769,4.70201
6.54411,4.70742
6.55054,4.71283
6.55696,4.71824
6.56339,4.72365
6.56981,4.72906
6.57624,4.73447
6.58266,4.73989
6.58909,4.7453
6.59551,4.75071
6.60193,4.75612
6.60836,4.76153
6.61478,4.76694
6.62121,4.77235
6.62763,4.77777
6.63406,4.78318
6.64048,4.78859
6.64691,4.794
6.65333,4.79941
6.65976,4.80482
6.66618,4.81023
6.67261,4.81565
6.67903,4.82106
6.68546,4.82647
6.69188,4.83188
6.6983,4.83729
6.70473,4.8427
6.71115,4.84811
6.71758,4.85353
6.724,4.85894
6.73043,4.86435
6.73685,4.86976
6.74328,4.87517
6.7497,4.88058
6.75613,4.88599
6.76255,4.89141
6.76898,4.89682
6.7754,4.90223
6.78183,4.90764
6.78825,4.91305
6.79467,4.91846
6.8011,4.92387
6.80752,4.92929
6.81395,4.9347
6.82037,4.94011
6.8268,4.94552
6.83322,4.95093
6.83965,4.95634
6.84607,4.96175
6.8525,4.96717
6.85892,4.97258
6.86535,4.97799
6.87177,4.9834
6.8782,4.98881
6.88462,4.99422
6.89105,4.99963
6.89747,5.00505
6.90389,5.01046
6.91032,5.01587
6.91674,5.02128
6.92317,5.02669
6.92959,5.0321
6.93602,5.03751
6.94244,5.04293
6.94887,5.04834
6.95529,5.05375
6.96172,5.05916
6.96814,5.06457
6.97457,5.06998
6.98099,5.07539
6.98742,5.08081
6.99384,5.08622
7.00026,5.09163
7.00669,5.09704
7.01311,5.10245
7.01954,5.10786
7.02596,5.11327
7.03239,5.11869
7.03881,5.1241
7.04524,5.12951
7.05166,5.13492
7.05809,5.14033
7.06451,5.14574
7.07094,5.15115
7.07736,5.15657
7.08379,5.16198
7.09021,5.16739
7.09663,5.1728
7.10306,5.17821
7.10948,5.18362
7.11591,5.18903
7.12233,5.19445
7.12876,5.19986
7.13518,5.20527
7.14161,5.21068
7.14803,5.21609
7.15446,5.2215
7.16088,5.22691
7.16731,5.23233
7.17373,5.23774
7.18016,5.24315
7.18658,5.24856
7.193,5.25397
7.19943,5.25938
7.20585,5.26479
7.21228,5.27021
7.2187,5.27562
7.22513,5.28103
7.23155,5.28644
7.23798,5.29185
7.2444,5.29726
7.25083,5.30267
7.25725,5.30809
7.26368,5.3135
7.2701,5.31891
7.27653,5.32432
7.28295,5.32973
7.28937,5.33514
7.2958,5.34055
7.30222,5.34597
7.30865,5.35138
7.31507,5.35679
7.3215,5.3622
7.32792,5.36761
7.33435,5.37302
7.34077,5.37843
7.3472,5.38385
7.35362,5.38926
7.36005,5.39467
7.36647,5.40008
7.3729,5.40549
7.37932,5.4109
7.38574,5.41631
7.39217,5.42173
7.39859,5.42714
7.40502,5.43255
7.41144,5.43796
7.41787,5.44337
7.42429,5.44878
7.43072,5.45419
7.43714,5.45961
7.44357,5.46502
7.44999,5.47043
7.45642,5.47584
7.46284,5.48125
7.46927,5.48666
7.47569,5.49207
7.48212,5.49749
7.48854,5.5029
7.49496,5.50831
7.50139,5.51372
7.50781,5.51913
7.51424,5.52454
7.52066,5.52995
7.52709,5.53537
7.53351,5.54078
7.53994,5.54619
7.54636,5.5516
7.55279,5.55701
7.55921,5.56242
7.56564,5.56783
7.57206,5.57325
7.57849,5.57866
7.58491,5.58407
7.59133,5.58948
7.59776,5.59489
7.60418,5.6003
7.61061,5.60571
7.61703,5.61113
7.62346,5.61654
7.62988,5.62195
7.63631,5.62736
7.64273,5.63277
7.64916,5.63818
7.65558,5.64359
7.66201,5.64901
7.66843,5.65442
7.67486,5.65983
7.68128,5.66524
7.6877,5.67065
7.69413,5.67606
7.70055,5.68147
7.70698,5.68689
7.7134,5.6923
7.71983,5.69771
7.72625,5.70312
7.73268,5.70853
7.7391,5.71394
7.74553,5.71935
7.75195,5.72477
7.75838,5.73018
